768 1366
0_0.bmp 0.0 0.0
0_1.bmp 0.0 0.125
0_2.bmp 0.0 0.25
0_3.bmp 0.0 0.375
0_4.bmp 0.0 0.5
0_5.bmp 0.0 0.625
0_6.bmp 0.0 0.75
1_0.bmp 0.16666666666666666 0.0
1_1.bmp 0.16666666666666666 0.125
1_2.bmp 0.16666666666666666 0.25
1_3.bmp 0.16666666666666666 0.375
1_4.bmp 0.16666666666666666 0.5
1_5.bmp 0.16666666666666666 0.625
1_6.bmp 0.16666666666666666 0.75
2_0.bmp 0.3333333333333333 0.0
2_1.bmp 0.3333333333333333 0.125
2_2.bmp 0.3333333333333333 0.25
2_3.bmp 0.3333333333333333 0.375
2_4.bmp 0.3333333333333333 0.5
2_5.bmp 0.3333333333333333 0.625
2_6.bmp 0.3333333333333333 0.75
3_0.bmp 0.5 0.0
3_1.bmp 0.5 0.125
3_2.bmp 0.5 0.25
3_3.bmp 0.5 0.375
3_4.bmp 0.5 0.5
3_5.bmp 0.5 0.625
3_6.bmp 0.5 0.75
4_0.bmp 0.6666666666666666 0.0
4_1.bmp 0.6666666666666666 0.125
4_2.bmp 0.6666666666666666 0.25
4_3.bmp 0.6666666666666666 0.375
4_4.bmp 0.6666666666666666 0.5
4_5.bmp 0.6666666666666666 0.625
4_6.bmp 0.6666666666666666 0.75
